"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
-1.000000, 0.417583, 2447.607085, 1, 2448.607085, batch_size='528', channel_1='19', channel_2='4', n_fc_layer='2', fc_nodes='121'
-1.000000, 0.347596, 2743.317470, 2, 2744.317470, batch_size='259', channel_1='7', channel_2='4', n_fc_layer='2', fc_nodes='263'
-1.000000, 0.347596, 7717.118402, 2, 7718.118402, batch_size='259', channel_1='7', channel_2='4', n_fc_layer='2', fc_nodes='263'
